Opt, Size, Seq, Par, Libc
2, , 0.000000, 0.000259, 0.000002
3, , 0.000000, 0.000259, 0.000002
0, , 0.000000, 0.000243, 0.000001
1, , 0.000000, 0.000243, 0.000001
2, , 0.000000, 0.000243, 0.000001
3, , 0.000000, 0.000243, 0.000001
0, , 0.000000, 0.000609, 0.000001
1, , 0.000000, 0.000609, 0.000001
2, , 0.000000, 0.000609, 0.000001
3, , 0.000000, 0.000609, 0.000001
0, , 0.000001, 0.001301, 0.000003
1, , 0.000001, 0.001301, 0.000003
2, , 0.000001, 0.001301, 0.000003
3, , 0.000001, 0.001301, 0.000003
0, , 0.000001, 0.000544, 0.000003
1, , 0.000001, 0.000544, 0.000003
2, , 0.000001, 0.000544, 0.000003
3, , 0.000001, 0.000544, 0.000003
0, , 0.000000, 0.000369, 0.000002
1, , 0.000000, 0.000369, 0.000002
2, , 0.000000, 0.000369, 0.000002
3, , 0.000000, 0.000369, 0.000002
0, , 0.000000, 0.000322, 0.000003
1, , 0.000000, 0.000322, 0.000003
2, , 0.000000, 0.000322, 0.000003
3, , 0.000000, 0.000322, 0.000003
0, , 0.000000, 0.000586, 0.000002
1, , 0.000000, 0.000586, 0.000002
2, , 0.000000, 0.000586, 0.000002
3, , 0.000000, 0.000586, 0.000002
0, , 0.000000, 0.000271, 0.000001
1, , 0.000000, 0.000271, 0.000001
2, , 0.000000, 0.000271, 0.000001
3, , 0.000000, 0.000271, 0.000001
0, , 0.000000, 0.000266, 0.000002
1, , 0.000000, 0.000266, 0.000002
2, , 0.000000, 0.000266, 0.000002
3, , 0.000000, 0.000266, 0.000002
0, , 0.000000, 0.001003, 0.000002
1, , 0.000000, 0.001003, 0.000002
2, , 0.000000, 0.001003, 0.000002
3, , 0.000000, 0.001003, 0.000002
0, , 0.000001, 0.000335, 0.000002
1, , 0.000001, 0.000335, 0.000002
2, , 0.000001, 0.000335, 0.000002
3, , 0.000001, 0.000335, 0.000002
0, , 0.000000, 0.000160, 0.000002
1, , 0.000000, 0.000160, 0.000002
2, , 0.000000, 0.000160, 0.000002
3, , 0.000000, 0.000160, 0.000002
0, , 0.000001, 0.000157, 0.000002
1, , 0.000001, 0.000157, 0.000002
2, , 0.000001, 0.000157, 0.000002
3, , 0.000001, 0.000157, 0.000002
0, , 0.000000, 0.000148, 0.000002
1, , 0.000000, 0.000148, 0.000002
2, , 0.000000, 0.000148, 0.000002
3, , 0.000000, 0.000148, 0.000002
0, , 0.000000, 0.000221, 0.000002
1, , 0.000000, 0.000221, 0.000002
2, , 0.000000, 0.000221, 0.000002
3, , 0.000000, 0.000221, 0.000002
0, , 0.000000, 0.000256, 0.000002
1, , 0.000000, 0.000256, 0.000002
2, , 0.000000, 0.000256, 0.000002
3, , 0.000000, 0.000256, 0.000002
0, , 0.000001, 0.000213, 0.000011
1, , 0.000001, 0.000213, 0.000011
2, , 0.000001, 0.000213, 0.000011
3, , 0.000001, 0.000213, 0.000011
0, , 0.000000, 0.000163, 0.000001
1, , 0.000000, 0.000163, 0.000001
2, , 0.000000, 0.000163, 0.000001
3, , 0.000000, 0.000163, 0.000001
0, , 0.000001, 0.000661, 0.000002
1, , 0.000001, 0.000661, 0.000002
2, , 0.000001, 0.000661, 0.000002
3, , 0.000001, 0.000661, 0.000002
0, , 0.000001, 0.002073, 0.000002
1, , 0.000001, 0.002073, 0.000002
2, , 0.000001, 0.002073, 0.000002
3, , 0.000001, 0.002073, 0.000002
0, , 0.000000, 0.000305, 0.000001
1, , 0.000000, 0.000305, 0.000001
2, , 0.000000, 0.000305, 0.000001
3, , 0.000000, 0.000305, 0.000001
0, , 0.000001, 0.000267, 0.000002
1, , 0.000001, 0.000267, 0.000002
2, , 0.000001, 0.000267, 0.000002
3, , 0.000001, 0.000267, 0.000002
0, , 0.000000, 0.000273, 0.000002
1, , 0.000000, 0.000273, 0.000002
2, , 0.000000, 0.000273, 0.000002
3, , 0.000000, 0.000273, 0.000002
0, , 0.000000, 0.000182, 0.000002
1, , 0.000000, 0.000182, 0.000002
2, , 0.000000, 0.000182, 0.000002
3, , 0.000000, 0.000182, 0.000002
0, , 0.000000, 0.000156, 0.000001
1, , 0.000000, 0.000156, 0.000001
2, , 0.000000, 0.000156, 0.000001
3, , 0.000000, 0.000156, 0.000001
0, , 0.000000, 0.000139, 0.000001
1, , 0.000000, 0.000139, 0.000001
2, , 0.000000, 0.000139, 0.000001
3, , 0.000000, 0.000139, 0.000001
0, , 0.000000, 0.000149, 0.000001
1, , 0.000000, 0.000149, 0.000001
2, , 0.000000, 0.000149, 0.000001
3, , 0.000000, 0.000149, 0.000001
0, , 0.000000, 0.000163, 0.000001
1, , 0.000000, 0.000163, 0.000001
2, , 0.000000, 0.000163, 0.000001
3, , 0.000000, 0.000163, 0.000001
0, , 0.000000, 0.000140, 0.000001
1, , 0.000000, 0.000140, 0.000001
2, , 0.000000, 0.000140, 0.000001
3, , 0.000000, 0.000140, 0.000001
0, , 0.000000, 0.000132, 0.000001
1, , 0.000000, 0.000132, 0.000001
2, , 0.000000, 0.000132, 0.000001
3, , 0.000000, 0.000132, 0.000001
0, , 0.000001, 0.000100, 0.000001
1, , 0.000001, 0.000100, 0.000001
2, , 0.000001, 0.000100, 0.000001
3, , 0.000001, 0.000100, 0.000001
0, , 0.000000, 0.000093, 0.000001
1, , 0.000000, 0.000093, 0.000001
2, , 0.000000, 0.000093, 0.000001
3, , 0.000000, 0.000093, 0.000001
0, , 0.000000, 0.000118, 0.000001
1, , 0.000000, 0.000118, 0.000001
2, , 0.000000, 0.000118, 0.000001
3, , 0.000000, 0.000118, 0.000001
0, , 0.000000, 0.000096, 0.000001
1, , 0.000000, 0.000096, 0.000001
2, , 0.000000, 0.000096, 0.000001
3, , 0.000000, 0.000096, 0.000001
0, , 0.000001, 0.000100, 0.000002
1, , 0.000001, 0.000100, 0.000002
2, , 0.000001, 0.000100, 0.000002
3, , 0.000001, 0.000100, 0.000002
0, , 0.000000, 0.000089, 0.000001
1, , 0.000000, 0.000089, 0.000001
2, , 0.000000, 0.000089, 0.000001
3, , 0.000000, 0.000089, 0.000001
0, , 0.000000, 0.000091, 0.000001
1, , 0.000000, 0.000091, 0.000001
2, , 0.000000, 0.000091, 0.000001
3, , 0.000000, 0.000091, 0.000001
0, , 0.000000, 0.000120, 0.000001
1, , 0.000000, 0.000120, 0.000001
2, , 0.000000, 0.000120, 0.000001
3, , 0.000000, 0.000120, 0.000001
0, , 0.000001, 0.000275, 0.000002
1, , 0.000001, 0.000275, 0.000002
2, , 0.000001, 0.000275, 0.000002
3, , 0.000001, 0.000275, 0.000002
0, , 0.000001, 0.000673, 0.000002
1, , 0.000001, 0.000673, 0.000002
2, , 0.000001, 0.000673, 0.000002
3, , 0.000001, 0.000673, 0.000002
0, , 0.000000, 0.000623, 0.000001
1, , 0.000000, 0.000623, 0.000001
2, , 0.000000, 0.000623, 0.000001
3, , 0.000000, 0.000623, 0.000001
0, , 0.000001, 0.000300, 0.000002
1, , 0.000001, 0.000300, 0.000002
2, , 0.000001, 0.000300, 0.000002
3, , 0.000001, 0.000300, 0.000002
0, , 0.000001, 0.000276, 0.000002
1, , 0.000001, 0.000276, 0.000002
2, , 0.000001, 0.000276, 0.000002
3, , 0.000001, 0.000276, 0.000002
0, , 0.000000, 0.000239, 0.000002
